industry_group,n_loans,observed_default_rate,avg_risk_score,approval_rate,approved_default_rate
77-82 : Business administration & support services,4,0.5,1.0260018034810054,0.75,0.6666666666666666
55-56 : Accommodation & food services,4,0.25,0.8937103461058078,0.75,0.3333333333333333
85 : Education,4,0.25,0.961532824381476,0.75,0.3333333333333333
"69-75 : Professional, scientific & technical",16,0.1875,1.2025067113068653,0.3125,0.0
58-63 : Information & communication,11,0.18181818181818182,0.9398321295667936,0.7272727272727273,0.0
49-53 : Transport & Storage (inc. postal),6,0.16666666666666666,1.0865103387445172,0.6666666666666666,0.0
47 : Retail,7,0.14285714285714285,0.958186846411666,0.8571428571428571,0.0
"90-99 : Arts, entertainment, recreation & other",9,0.1111111111111111,1.19069192487422,0.6666666666666666,0.0
"01-03 : Agriculture, forestry & fishing",9,0.0,1.0845276458435504,0.6666666666666666,0.0
41-43 : Construction,8,0.0,0.8908612683210476,0.75,0.0
46 : Wholesale,6,0.0,0.7757998536886016,1.0,0.0
86-88 : Health,4,0.0,0.9998083055419638,0.5,0.0
45 : Motor trades,1,0.0,1.0317023839624677,1.0,0.0
64-66 : Finance & insurance,1,0.0,6.262656537437245,0.0,
