feature,feature_value,mean_partial_hazard
payment_index,0.0,1.0550084917872213
payment_index,0.9578947368421051,1.058585585854203
payment_index,4.0,1.0700264273665583
payment_index,4.836842105263157,1.0731952775776656
payment_index,8.031578947368416,1.0853792506653468
payment_index,10.59736842105263,1.0952646495975706
payment_index,11.0,1.0968240487331655
payment_index,12.552631578947366,1.1028582346622013
payment_index,14.731578947368419,1.1113825763762446
payment_index,15.955263157894736,1.116198655739939
payment_index,18.0,1.1242927867119814
payment_index,18.268421052631577,1.1253596858913186
payment_index,21.118421052631582,1.136750278186119
payment_index,25.0,1.152449448671877
payment_index,32.64999999999999,1.1840276893795103
payment_index,44.984210526315785,1.2367741423045318
payment_index,48.32631578947368,1.251466750760215
payment_index,52.01315789473685,1.267877458418389
payment_index,54.52105263157895,1.2791632950894338
payment_index,56.699999999999996,1.2890503546340764
